Message,Id,Version,Qualifiers,Level,Task,Opcode,Keywords,RecordId,ProviderName,ProviderId,LogName,ProcessId,ThreadId,MachineName,UserId,TimeCreated,ActivityId,RelatedActivityId,ContainerLog,MatchedQueryIds,Bookmark,LevelDisplayName,OpcodeDisplayName,TaskDisplayName,KeywordsDisplayNames,Properties
"A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		PALLAVI$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		S-1-5-21-526676626-1424332610-3041271291-1001
	Account Name:		palla
	Account Domain:		Pallavi

Process Information:
	Process ID:		0x1b30
	Process Name:		C:\Windows\System32\svchost.exe",4798,0,,0,13824,0,-9.21436E+18,652838,Microsoft-Windows-Security-Auditing,54849625-5478-4994-a5ba-3e3b0328c30d,Security,1044,1100,Pallavi,,8/22/2025 10:49,c4ca9b73-111d-0000-28a7-cac41d11dc01,,d:\loganalyzerproject\data\security.evtx,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Log Always,???,User Account Management,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		PALLAVI$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		S-1-5-21-526676626-1424332610-3041271291-501
	Account Name:		Guest
	Account Domain:		Pallavi

Process Information:
	Process ID:		0x1b30
	Process Name:		C:\Windows\System32\svchost.exe",4798,0,,0,13824,0,-9.21436E+18,652837,Microsoft-Windows-Security-Auditing,54849625-5478-4994-a5ba-3e3b0328c30d,Security,1044,1100,Pallavi,,8/22/2025 10:49,c4ca9b73-111d-0000-28a7-cac41d11dc01,,d:\loganalyzerproject\data\security.evtx,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Log Always,???,User Account Management,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		PALLAVI$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		S-1-5-21-526676626-1424332610-3041271291-503
	Account Name:		DefaultAccount
	Account Domain:		Pallavi

Process Information:
	Process ID:		0x1b30
	Process Name:		C:\Windows\System32\svchost.exe",4798,0,,0,13824,0,-9.21436E+18,652836,Microsoft-Windows-Security-Auditing,54849625-5478-4994-a5ba-3e3b0328c30d,Security,1044,1100,Pallavi,,8/22/2025 10:49,c4ca9b73-111d-0000-28a7-cac41d11dc01,,d:\loganalyzerproject\data\security.evtx,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Log Always,???,User Account Management,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		PALLAVI$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		S-1-5-21-526676626-1424332610-3041271291-500
	Account Name:		Administrator
	Account Domain:		Pallavi

Process Information:
	Process ID:		0x1b30
	Process Name:		C:\Windows\System32\svchost.exe",4798,0,,0,13824,0,-9.21436E+18,652835,Microsoft-Windows-Security-Auditing,54849625-5478-4994-a5ba-3e3b0328c30d,Security,1044,1100,Pallavi,,8/22/2025 10:49,c4ca9b73-111d-0000-28a7-cac41d11dc01,,d:\loganalyzerproject\data\security.evtx,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Log Always,???,User Account Management,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		PALLAVI$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		S-1-5-21-526676626-1424332610-3041271291-1001
	Account Name:		palla
	Account Domain:		Pallavi

Process Information:
	Process ID:		0x1b30
	Process Name:		C:\Windows\System32\svchost.exe",4798,0,,0,13824,0,-9.21436E+18,652834,Microsoft-Windows-Security-Auditing,54849625-5478-4994-a5ba-3e3b0328c30d,Security,1044,1100,Pallavi,,8/22/2025 10:49,c4ca9b73-111d-0000-28a7-cac41d11dc01,,d:\loganalyzerproject\data\security.evtx,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Log Always,???,User Account Management,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		PALLAVI$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		S-1-5-21-526676626-1424332610-3041271291-501
	Account Name:		Guest
	Account Domain:		Pallavi

Process Information:
	Process ID:		0x1b30
	Process Name:		C:\Windows\System32\svchost.exe",4798,0,,0,13824,0,-9.21436E+18,652833,Microsoft-Windows-Security-Auditing,54849625-5478-4994-a5ba-3e3b0328c30d,Security,1044,1100,Pallavi,,8/22/2025 10:49,c4ca9b73-111d-0000-28a7-cac41d11dc01,,d:\loganalyzerproject\data\security.evtx,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Log Always,???,User Account Management,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		PALLAVI$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		S-1-5-21-526676626-1424332610-3041271291-503
	Account Name:		DefaultAccount
	Account Domain:		Pallavi

Process Information:
	Process ID:		0x1b30
	Process Name:		C:\Windows\System32\svchost.exe",4798,0,,0,13824,0,-9.21436E+18,652832,Microsoft-Windows-Security-Auditing,54849625-5478-4994-a5ba-3e3b0328c30d,Security,1044,1100,Pallavi,,8/22/2025 10:49,c4ca9b73-111d-0000-28a7-cac41d11dc01,,d:\loganalyzerproject\data\security.evtx,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Log Always,???,User Account Management,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		PALLAVI$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		S-1-5-21-526676626-1424332610-3041271291-500
	Account Name:		Administrator
	Account Domain:		Pallavi

Process Information:
	Process ID:		0x1b30
	Process Name:		C:\Windows\System32\svchost.exe",4798,0,,0,13824,0,-9.21436E+18,652831,Microsoft-Windows-Security-Auditing,54849625-5478-4994-a5ba-3e3b0328c30d,Security,1044,1100,Pallavi,,8/22/2025 10:49,c4ca9b73-111d-0000-28a7-cac41d11dc01,,d:\loganalyzerproject\data\security.evtx,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Log Always,???,User Account Management,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		PALLAVI$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		S-1-5-21-526676626-1424332610-3041271291-1001
	Account Name:		palla
	Account Domain:		Pallavi

Process Information:
	Process ID:		0x1b30
	Process Name:		C:\Windows\System32\svchost.exe",4798,0,,0,13824,0,-9.21436E+18,652830,Microsoft-Windows-Security-Auditing,54849625-5478-4994-a5ba-3e3b0328c30d,Security,1044,15428,Pallavi,,8/22/2025 10:46,c4ca9b73-111d-0000-28a7-cac41d11dc01,,d:\loganalyzerproject\data\security.evtx,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Log Always,???,User Account Management,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		PALLAVI$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

User:
	Security ID:		S-1-5-21-526676626-1424332610-3041271291-501
	Account Name:		Guest
	Account Domain:		Pallavi

Process Information:
	Process ID:		0x1b30
	Process Name:		C:\Windows\System32\svchost.exe",4798,0,,0,13824,0,-9.21436E+18,652829,Microsoft-Windows-Security-Auditing,54849625-5478-4994-a5ba-3e3b0328c30d,Security,1044,15428,Pallavi,,8/22/2025 10:46,c4ca9b73-111d-0000-28a7-cac41d11dc01,,d:\loganalyzerproject\data\security.evtx,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Log Always,???,User Account Management,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
